what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347312721
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1417347313353
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347313948
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1417347313957
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1417347313958
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347314500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1417347314968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347315306
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1417347315315
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1417347315316
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347315805
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1417347316580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347318517
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1417347318526
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.rename",1417347318527
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1417347319753
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347320505
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347323142
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347323495
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347325015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347349608
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347351145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347421043
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1417347421063
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347421533
