what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347236527
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347238198
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1417347240900
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347241944
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1417347247316
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1417347248283
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1417347254769
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1417347255550
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1417347256388
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417347259601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347262548
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347262914
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1417347268944
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1417347270681
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347270982
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347275278
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347277311
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347280721
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1417347282051
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1417347299544
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildAll",1417347299888
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347300191
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1417347309209
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1417347310743
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1417347311528
